station,latitude,longitude,x-coordinate,y-coordinate,neighbours
Seishin-Chuo,34.719416,135.017416,121,187,Seishin-Minami
Seishin-Minami,34.699435,135.030153,142,217,"Ikawadani,Seishin-Chuo"
Ikawadani,34.687828,135.041263,161,247,"Gakuen-Toshi,Seishin-Minami"
Gakuen-Toshi,34.681521,135.057299,178,273,"Sogo Undo Koen,Ikawadani"
Sogo Undo Koen,34.681692,135.07584,194,297,"Myodani,Gakuen-Toshi"
Myodani,34.679308,135.09439,213,325,"Sogo Undo Koen,Myohoji"
Myohoji,34.675049,135.110108,231,352,"Itayado,Myodani"
Itayado,34.659708,135.134788,254,384,"Shin-Nagata,Myohoji"
Shin-Nagata,34.657686,135.145461,292,388,"Itayado,Nagata,Komagabayashi"
Nagata,34.668451,135.151496,351,385,"Shin-Nagata,Kamisawa"
Kamisawa,34.673282,135.158481,400,385,"Nagata,Minatogawa Koen"
Minatogawa Koen,34.67937,135.167224,451,385,"Kamisawa,Okurayama"
Okurayama,34.684676,135.174614,501,386,"Minatogawa Koen,Kenchomae"
Kenchomae,34.691021,135.184019,564,386,"Sannomiya,Okurayama"
Sannomiya,34.694101,135.192715,620,386,"Kenchomae,Shin-Kobe,Sannomiya-Hanadokeimae"
Shin-Kobe,34.706291,135.195464,654,331,"Sannomiya,Tanigami"
Tanigami,34.761647,135.171344,687,277,Shin-Kobe
Komagabayashi,34.652007,135.149691,292,470,"Shin-Nagata,Karumo"
Karumo,34.653809,135.156934,292,554,"Komagabayashi,Misaki-Koen"
Misaki-Koen,34.654852,135.165991,363,555,"Karumo,Wadamisaki"
Wadamisaki,34.657407,135.173771,423,555,"Chuo-Ichibamae,Misaki-Koen"
Chuo-Ichibamae,34.666948,135.175799,508,555,"Wadamisaki,Harbor Land"
Harbor Land,34.678733,135.178766,578,556,"Chuo-Ichibamae,Minato Motomachi"
Minato Motomachi,34.685982,135.184149,620,554,"Harbor Land,Kyukyoryuuchi-Daimarumae"
Kyukyoryuuchi-Daimarumae,34.689503,135.190433,620,475,"Minato Motomachi,Sannomiya-Hanadokeimae"
Sannomiya-Hanadokeimae,34.691797,135.195889,620,410,"Sannomiya,Kyukyoryuuchi-Daimarumae"
