station,latitude,longitude,x-coordinate,y-coordinate,neighbours
22nd Street,49.20002,-122.948939,656,386,"Edmonds,New Westminster"
29th Avenue,49.244236,-123.046136,421,359,"Nanaimo,Joyce"
Aberdeen,49.184214,-123.13621,295,504,"Bridgeport,Lansdowne"
Airport,49.194249,-123.177789,118,473,Sea Island
Braid,49.233235,-122.882717,747,301,"Sapperton,Lougheed"
Brentwood,49.266431,-123.001813,567,260,"Gilmore,Holdom"
Bridgeport,49.195679,-123.125673,295,471,"Aberdeen,Templeton,Marine"
Brighouse,49.167558,-123.136299,295,562,Lansdowne
Broadway 1,49.262624,-123.069229,421,279,"Main,Nanaimo,Broadway 2"
Broadway 2,49.262624,-123.069229,435,261,"VCC-Clark,Renfrew,Broadway 1"
Burquitlam,49.26132,-122.889865,746,224,"Moody Centre,Lougheed"
Burrard,49.285634,-123.119515,297,96,"Waterfront,Granville"
City Centre,49.282411,-123.118324,299,163,"Granville,Yaletown"
City Hall,49.263139,-123.114694,295,289,"Olympic Village,King Edward"
Columbia,49.204777,-122.906118,738,387,"Sapperton,New Westminister,Scott Road"
Coquitlam Central,49.274739,-122.800731,824,165,"Inlet Centre,Lincoln"
Douglas,49.285766,-122.791584,863,75,Lincoln
Edmonds,49.211909,-122.959156,617,386,"Royal Oak,22nd Street"
Gateway,49.198946,-122.850673,751,493,"Scott Road,Surrey Central"
Gilmore,49.265002,-123.013571,534,260,"Rupert,Brentwood"
Granville,49.283136,-123.115744,313,145,"Waterfront,City Centre,Burrard,Stadium"
Holdom,49.264753,-122.982149,602,260,"Brentwood,Sperling"
Inlet Centre,49.277211,-122.828189,783,165,"Coquitlam Central,Moody Centre"
Joyce,49.238353,-123.031827,463,386,"29th Avenue,Patterson"
King Edward,49.249119,-123.115505,295,321,"Oakridge,City Hall"
King George,49.182755,-122.844744,751,561,Surrey Central
Lake City,49.254654,-122.939183,669,260,"University,Sperling"
Langara,49.226087,-123.116333,295,376,"Marine,Oakridge"
Lansdowne,49.174519,-123.13637,295,531,"Aberdeen,Brighouse"
Lincoln,49.280379,-122.793915,863,120,"Douglas,Coquitlam Central"
Lougheed,49.248549,-122.896879,736,260,"University,Burquitlam,Braid"
Main,49.273099,-123.100399,386,218,"Stadium,Broadway 1"
Marine,49.20981,-123.116957,295,403,"Langara,Bridgeport"
Metrotown,49.225699,-123.003787,540,386,"Patterson,Royal Oak"
Moody Centre,49.277927,-122.845843,746,190,"Burquitlam,Inlet Centre"
Nanaimo,49.248283,-123.055904,421,326,"Broadway 1,29th Avenue"
New Westminster,49.201406,-122.912573,694,386,"22nd Street,Columbia"
Oakridge,49.233469,-123.11639,295,349,"King Edward,Langara"
Olympic Village,49.266611,-123.11544,295,254,"Yaletown,City Hall"
Patterson,49.229712,-123.012678,502,386,"Joyce,Metrotown"
Renfrew,49.258942,-123.045374,465,260,"Broadway 2,Rupert"
Royal Oak,49.220013,-122.988475,579,386,"Metrotown,Edmonds"
Rupert,49.260815,-123.032869,500,260,"Renfrew,Gilmore"
Sapperton,49.22462,-122.88931,747,345,"Braid,Columbia"
Scott Road,49.20445,-122.874,751,463,"Gateway,Columbia"
Sea Island,49.193078,-123.158979,156,473,"Airport,Templeton"
Sperling,49.259213,-122.963982,637,260,"Holdom,Lake City"
Stadium,49.279178,-123.109213,351,182,"Granville,Main"
Surrey Central,49.189549,-122.847914,751,525,"King George,Gateway"
Templeton,49.196654,-123.146306,193,473,"Sea Island,Bridgeport"
University,49.253465,-122.918191,704,260,"Lake City,Lougheed"
VCC-Clark,49.265873,-123.079049,368,260,Broadway 2
Waterfront,49.285907,-123.111578,347,110,"Granville,Burrard"
Yaletown,49.274356,-123.121842,295,198,"City Centre,Olympic Village"
